datetime,WIKI/AAPL,WIKI/GOOG,WIKI/MSFT,cash,commission,total,returns,equity_curve,drawdown
2016-10-10,0.0,0.0,0.0,100000.0,0.0,100000.0,,,
2016-10-10,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2016-10-11,11630.0,78307.0,5719.0,3997.0,0.0,99653.0,-0.00347,0.99653,0.00347
2016-10-12,11734.0,78614.0,5711.0,3997.0,0.0,100056.0,0.00404403279379,1.00056,0.0
2016-10-13,11698.0,77819.0,5692.0,3997.0,0.0,99206.0,-0.00849524266411,0.99206,0.0085
2016-10-14,11763.0,77853.0,5742.0,3997.0,0.0,99355.0,0.00150192528678,0.99355,0.00701
2016-10-17,11755.0,77996.0,5722.0,3997.0,0.0,99470.0,0.00115746565346,0.9947,0.00586
2016-10-18,11747.0,79526.0,5766.0,3997.0,0.0,101036.0,0.0157434402332,1.01036,0.0
2016-10-19,11712.0,80156.0,5753.0,3997.0,0.0,101618.0,0.00576032305317,1.01618,0.0
2016-10-20,11706.0,79697.0,5725.0,3997.0,0.0,101125.0,-0.00485150268653,1.01125,0.00493
2016-10-21,11660.0,79937.0,5966.0,3997.0,0.0,101560.0,0.00430160692213,1.0156,0.00058
2016-10-24,11765.0,81311.0,6100.0,3997.0,0.0,103173.0,0.0158822371012,1.03173,0.0
2016-10-25,11825.0,80767.0,6099.0,3997.0,0.0,102688.0,-0.00470084227463,1.02688,0.00485
2016-10-26,11559.0,79907.0,6063.0,3997.0,0.0,101526.0,-0.0113158304768,1.01526,0.01647
2016-10-27,11448.0,79535.0,6010.0,3997.0,0.0,100990.0,-0.00527943580955,1.0099,0.02183
2016-10-28,11372.0,79537.0,5987.0,3997.0,0.0,100893.0,-0.000960491137736,1.00893,0.0228
2016-10-31,11354.0,78454.0,5992.0,3997.0,0.0,99797.0,-0.0108629934683,0.99797,0.03376
2016-11-01,11149.0,78361.0,5980.0,3997.0,0.0,99487.0,-0.00310630580078,0.99487,0.03686
