Date,Open,High,Low,Close,Volume,Adj Close
2016-09-07,23.690001,23.889999,23.690001,23.85,143500,23.85
2016-09-06,23.780001,23.790001,23.43,23.68,43500,23.68
2016-09-02,23.450001,23.93,23.41,23.84,31300,23.84
2016-09-01,23.450001,23.48,23.26,23.42,49500,23.42
2016-08-31,23.559999,23.65,23.35,23.440001,39800,23.440001
2016-08-30,23.58,23.719999,23.49,23.639999,64400,23.639999
2016-08-29,23.49,23.65,23.379999,23.440001,38200,23.440001
2016-08-26,23.74,23.91,23.40,23.49,32300,23.49
2016-08-25,23.629999,23.809999,23.440001,23.76,73700,23.76
2016-08-24,23.76,23.790001,23.549999,23.65,95300,23.65
2016-08-23,23.57,23.950001,23.57,23.870001,32400,23.870001
2016-08-22,23.620001,23.74,23.50,23.60,276000,23.60
2016-08-19,23.73,23.799999,23.379999,23.719999,204800,23.719999
2016-08-18,23.540001,23.879999,23.540001,23.74,38600,23.74
2016-08-17,23.74,23.75,23.52,23.629999,56000,23.629999
2016-08-16,23.879999,24.09,23.58,23.77,69300,23.77
2016-08-15,23.809999,24.09,23.67,23.90,79100,23.90
2016-08-12,23.32,23.799999,23.32,23.75,93900,23.75
2016-08-11,23.49,23.709999,23.360001,23.450001,82000,23.400001
2016-08-10,23.65,23.940001,23.299999,23.40,42700,23.350107
2016-08-09,23.99,24.040001,23.540001,23.549999,65500,23.499786
